Part,Value,Device,Package,Description,Link
R41,10K,Resistor,805,,http://www.aliexpress.com/item/0805-SMD-Resistors-10k-10K-ohm-1-8W-5-0805-SMD-Resistors-0805-Chip-resistor-500pcs/852348196.html
R42,10K,Resistor,805,,http://www.aliexpress.com/item/0805-SMD-Resistors-10k-10K-ohm-1-8W-5-0805-SMD-Resistors-0805-Chip-resistor-500pcs/852348196.html
RELAY4,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
RELAY5,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
RELAY6,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
RINP4,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
RINP5,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
RINP6,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
SENLED1,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
SENLED2,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
SENLED3,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
SENSOR1,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
SENSOR2,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
SENSOR3,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
SENSOR4,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
SENSOR5,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
SENSOR7,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
SENSOR8,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
U$1,,"9 pin, female, 90 deg header",,,http://www.aliexpress.com/item/10pcs-1x40-Pin-2-54mm-Right-Angle-Single-Row-Female-Pin-Header-Connector/32412624930.html
U$2,,"9 pin, female, 90 deg header",,,http://www.aliexpress.com/item/10pcs-1x40-Pin-2-54mm-Right-Angle-Single-Row-Female-Pin-Header-Connector/32412624930.html
U$3,,G5V 5V relay,,,http://www.aliexpress.com/item/G5V-1-5V-g5v-1-5-G5V-1-5VDC-5pcs-lot/32380269321.html
U$4,,"9 pin, female, 90 deg header",,,http://www.aliexpress.com/item/10pcs-1x40-Pin-2-54mm-Right-Angle-Single-Row-Female-Pin-Header-Connector/32412624930.html
U$6,,"9 pin, female, 90 deg header",,,http://www.aliexpress.com/item/10pcs-1x40-Pin-2-54mm-Right-Angle-Single-Row-Female-Pin-Header-Connector/32412624930.html
U$7,,"9 pin, female, 90 deg header",,,http://www.aliexpress.com/item/10pcs-1x40-Pin-2-54mm-Right-Angle-Single-Row-Female-Pin-Header-Connector/32412624930.html
U$8,,2N2222 Transistor,SOT23-3,,http://www.aliexpress.com/item/MMBT2222A-patch-Transistor-2N2222-SMD-1P-printing-package-SOT23-NPN-KBSM/32469039785.html
U$9,,"1 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
U$10,,"1 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
U$11,,"1 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
U$12,,"1 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
U$13,,2N2222 Transistor,SOT23-3,,
U$14,,"9 pin, female, 90 deg header",,,http://www.aliexpress.com/item/10pcs-1x40-Pin-2-54mm-Right-Angle-Single-Row-Female-Pin-Header-Connector/32412624930.html
U$15,,"1 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
U$16,,"1 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
U$17,,"1 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
U$18,,"9 pin, female, 90 deg header",,,http://www.aliexpress.com/item/10pcs-1x40-Pin-2-54mm-Right-Angle-Single-Row-Female-Pin-Header-Connector/32412624930.html
U$19,,"1 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
U$20,,"1 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
U$21,,"1 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
U$22,,"1 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
U$23,,"3 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
U$24,,"3 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
U2,,2N2222 Transistor,SOT23-3,,http://www.aliexpress.com/item/MMBT2222A-patch-Transistor-2N2222-SMD-1P-printing-package-SOT23-NPN-KBSM/32469039785.html
U5,,2N2222 Transistor,SOT23-3,,http://www.aliexpress.com/item/MMBT2222A-patch-Transistor-2N2222-SMD-1P-printing-package-SOT23-NPN-KBSM/32469039785.html
U6,,2N2222 Transistor,SOT23-3,,http://www.aliexpress.com/item/MMBT2222A-patch-Transistor-2N2222-SMD-1P-printing-package-SOT23-NPN-KBSM/32469039785.html
VALVE,,"5 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
VLV_LED,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
